CustomerID,Age,Gender,State,City_Tier,Tenure_Months,Plan_Type,Contract_Type,Voice_Service,Internet_Service,SMS_Pack,OTT_Subscriptions,Music_Streaming,Caller_Tune,Data_Rollover,Paperless_Billing,Payment_Method,Monthly_Charges_INR,Total_Charges_INR,Num_Support_Calls,App_Usage_Minutes,Avg_Monthly_GB_Usage,Avg_Monthly_Call_Minutes,Network_Quality,Satisfaction_Score,Churned
CUST_00015,18,Male,Tamil Nadu,Tier 1,5,Prepaid,Quarterly Recharge,Yes,No Internet,Yes,None,Gaana,No,No,No,UPI,455.79,3471.14,1,61.0,0.0,975.0,3,3,1
CUST_00016,27,Male,Maharashtra,Tier 3,27,Prepaid,Annual Recharge,Yes,5G,Yes,Disney+ Hotstar,Spotify,Yes,No,Yes,Debit Card,1234.04,33637.62,1,3.0,24.0,115.0,5,4,0
CUST_00017,21,Male,Delhi,Tier 1,66,Prepaid,Quarterly Recharge,Yes,4G,No,Disney+ Hotstar,None,No,No,Yes,Credit Card,860.57,57348.61,6,64.0,14.6,419.0,3,5,0
CUST_00018,39,Female,Gujarat,Tier 3,5,Prepaid,Quarterly Recharge,No,5G,Yes,Disney+ Hotstar,Spotify,No,No,Yes,UPI,1051.94,5204.57,3,55.0,33.4,0.0,4,2,1
CUST_00019,23,Female,Kerala,Tier 2,7,Postpaid,Annual Contract,Yes,4G,No,None,None,No,Yes,No,Net Banking,616.4,5034.3,4,182.0,27.1,384.0,2,4,0
CUST_00020,18,Female,Karnataka,Tier 3,3,Prepaid,Annual Recharge,Yes,No Internet,No,Disney+ Hotstar,Gaana,No,No,No,UPI,658.22,2116.8,1,103.0,0.0,157.0,3,3,1
CUST_00021,54,Female,Maharashtra,Tier 1,32,Prepaid,Monthly Recharge,Yes,4G,No,None,Spotify,Yes,Yes,Yes,Credit Card,631.02,20605.51,2,52.0,4.7,239.0,2,4,0
CUST_00022,32,Male,Haryana,Tier 2,12,Prepaid,Monthly Recharge,Yes,4G,No,None,None,Yes,No,Yes,Cash/Cheque,558.75,6792.58,3,21.0,42.4,553.0,3,3,1
CUST_00023,35,Female,Kerala,Tier 1,1,Prepaid,Quarterly Recharge,Yes,4G,Yes,None,None,No,Yes,Yes,Net Banking,558.7,834.72,1,100.0,10.9,198.0,4,4,1
CUST_00024,18,Female,Gujarat,Tier 3,49,Prepaid,Monthly Recharge,Yes,5G,No,Multiple,Gaana,Yes,Yes,Yes,UPI,1345.2,65676.95,3,27.0,1.5,134.0,3,3,0
CUST_00025,27,Male,Kerala,Tier 2,19,Prepaid,Annual Recharge,Yes,4G,Yes,None,Spotify,No,No,Yes,Credit Card,689.02,14006.25,0,35.0,48.7,13.0,1,4,0
CUST_00026,36,Male,Uttar Pradesh,Tier 1,9,Prepaid,Monthly Recharge,Yes,No Internet,No,Disney+ Hotstar,JioSaavn,No,Yes,No,Net Banking,710.87,6157.0,2,94.0,0.0,258.0,3,4,0
CUST_00027,20,Male,Kerala,Tier 3,10,Postpaid,Annual Contract,Yes,4G,Yes,None,Gaana,No,No,Yes,UPI,862.84,8154.04,2,30.0,31.9,474.0,5,3,0
CUST_00028,39,Male,Tamil Nadu,Tier 2,8,Prepaid,Quarterly Recharge,Yes,4G,Yes,None,None,No,Yes,No,UPI,609.03,4952.41,2,28.0,26.4,136.0,3,3,0
CUST_00029,27,Male,Delhi,Tier 1,14,Prepaid,Monthly Recharge,Yes,4G,Yes,Netflix,JioSaavn,Yes,No,Yes,Net Banking,918.44,13794.72,2,47.0,13.4,803.0,4,5,0
CUST_00030,31,Female,Telangana,Tier 2,9,Postpaid,Annual Contract,Yes,4G,Yes,Disney+ Hotstar,None,No,Yes,No,Net Banking,1084.29,9417.05,3,87.0,54.8,49.0,4,4,0
CUST_00031,27,Male,Uttar Pradesh,Tier 2,19,Postpaid,Monthly Bill,Yes,4G,Yes,Disney+ Hotstar,JioSaavn,No,No,Yes,UPI,1194.15,22598.31,3,228.0,11.4,187.0,5,4,0
CUST_00032,59,Male,Bihar,Tier 1,35,Prepaid,Quarterly Recharge,Yes,4G,No,None,JioSaavn,No,No,Yes,UPI,725.02,25503.83,4,13.0,7.8,538.0,3,4,0
CUST_00033,34,Male,Tamil Nadu,Tier 2,26,Prepaid,Monthly Recharge,Yes,4G,No,Prime Video,Gaana,Yes,No,Yes,UPI,900.15,22741.89,2,23.0,19.4,1396.0,4,4,1
CUST_00034,21,Female,Haryana,Tier 1,8,Postpaid,Monthly Bill,Yes,4G,No,None,None,No,Yes,No,Net Banking,727.18,5129.67,0,338.0,15.6,190.0,4,2,0
CUST_00035,45,Female,Haryana,Tier 2,18,Prepaid,Monthly Recharge,Yes,4G,Yes,Disney+ Hotstar,Spotify,No,Yes,Yes,UPI,967.46,17976.88,4,77.0,0.9,541.0,4,4,1
CUST_00036,19,Male,Delhi,Tier 3,44,Prepaid,Annual Recharge,Yes,5G,Yes,None,None,No,Yes,No,UPI,760.88,33516.48,2,1.0,12.7,471.0,5,5,0
CUST_00037,37,Female,Kerala,Tier 2,1,Prepaid,Monthly Recharge,Yes,4G,No,Multiple,JioSaavn,No,No,Yes,UPI,1104.78,574.62,3,180.0,12.0,1105.0,3,3,1
CUST_00038,18,Female,Uttar Pradesh,Tier 2,1,Prepaid,Monthly Recharge,Yes,4G,Yes,Disney+ Hotstar,JioSaavn,No,No,Yes,Credit Card,922.19,765.37,1,27.0,39.2,278.0,5,4,0
CUST_00039,18,Male,Haryana,Tier 1,19,Prepaid,Monthly Recharge,Yes,4G,No,None,JioSaavn,No,No,Yes,UPI,638.22,11846.52,1,64.0,12.7,357.0,2,3,1
CUST_00040,37,Male,Uttar Pradesh,Tier 1,24,Prepaid,Monthly Recharge,Yes,5G,Yes,None,None,No,Yes,Yes,Credit Card,819.1,19662.36,3,37.0,105.3,71.0,4,2,0
CUST_00041,44,Female,Kerala,Tier 1,5,Postpaid,Monthly Bill,No,4G,No,Multiple,Gaana,No,No,Yes,Net Banking,1162.73,5911.94,2,15.0,33.7,0.0,3,3,0
CUST_00042,37,Female,Uttar Pradesh,Tier 2,32,Postpaid,Monthly Bill,Yes,5G,Yes,None,JioSaavn,Yes,No,Yes,Debit Card,1131.03,35118.78,3,74.0,64.1,401.0,4,4,0
CUST_00043,33,Female,Delhi,Tier 2,24,Postpaid,Monthly Bill,No,No Internet,Yes,Prime Video,JioSaavn,Yes,Yes,Yes,Cash/Cheque,721.27,17977.49,3,19.0,0.0,0.0,2,4,0
CUST_00044,31,Female,Karnataka,Tier 3,61,Prepaid,Quarterly Recharge,Yes,4G,No,None,Gaana,Yes,Yes,No,UPI,590.89,36081.2,5,21.0,5.4,236.0,4,3,0
CUST_00045,18,Female,Uttar Pradesh,Tier 1,4,Prepaid,Quarterly Recharge,Yes,4G,Yes,Netflix,JioSaavn,Yes,Yes,No,Debit Card,938.32,3434.1,3,130.0,40.5,482.0,3,1,1
CUST_00046,25,Female,Kerala,Tier 2,33,Postpaid,Monthly Bill,Yes,4G,No,Disney+ Hotstar,None,Yes,No,Yes,Debit Card,1056.06,35292.15,6,82.0,5.4,112.0,4,5,0
CUST_00047,29,Male,Gujarat,Tier 2,2,Prepaid,Quarterly Recharge,Yes,4G,Yes,Disney+ Hotstar,None,Yes,No,Yes,Cash/Cheque,1021.37,1525.5,1,200.0,19.9,481.0,4,4,1
CUST_00048,48,Male,Telangana,Tier 2,19,Prepaid,Monthly Recharge,Yes,4G,No,Prime Video,Gaana,Yes,Yes,Yes,UPI,867.91,16333.14,1,46.0,9.1,83.0,3,4,0
CUST_00049,39,Male,Delhi,Tier 3,19,Prepaid,Monthly Recharge,Yes,4G,Yes,Disney+ Hotstar,None,Yes,Yes,Yes,Net Banking,883.05,16169.67,2,56.0,17.2,273.0,4,3,0
CUST_00050,18,Female,West Bengal,Tier 1,11,Prepaid,Annual Recharge,Yes,No Internet,No,Multiple,None,Yes,Yes,No,Cash/Cheque,639.15,7402.84,2,6.0,0.0,48.0,3,5,0
CUST_00051,39,Female,Maharashtra,Tier 1,44,Prepaid,Annual Recharge,Yes,4G,No,Multiple,Gaana,No,Yes,Yes,UPI,1096.52,48843.66,1,36.0,81.4,291.0,5,3,0
CUST_00052,29,Female,Madhya Pradesh,Tier 2,1,Prepaid,Quarterly Recharge,Yes,4G,No,Netflix,JioSaavn,No,No,Yes,Cash/Cheque,913.3,1105.34,4,4.0,27.4,689.0,4,5,0
CUST_00053,26,Male,Bihar,Tier 1,17,Postpaid,Monthly Bill,Yes,5G,No,Prime Video,None,No,Yes,No,Credit Card,1098.75,18584.21,1,34.0,10.8,264.0,4,3,0
CUST_00054,42,Female,Uttar Pradesh,Tier 1,5,Prepaid,Annual Recharge,Yes,4G,No,None,JioSaavn,No,No,Yes,UPI,664.73,2685.79,2,42.0,6.7,159.0,5,5,0
CUST_00055,48,Male,Maharashtra,Tier 1,32,Postpaid,Monthly Bill,Yes,4G,No,None,JioSaavn,No,No,Yes,UPI,886.01,28123.63,1,15.0,4.3,59.0,3,4,0
CUST_00056,47,Male,Karnataka,Tier 1,1,Postpaid,Monthly Bill,Yes,5G,Yes,Disney+ Hotstar,None,Yes,No,Yes,UPI,1363.39,1479.28,2,155.0,56.3,178.0,3,5,1
CUST_00057,24,Female,Rajasthan,Tier 2,42,Prepaid,Quarterly Recharge,Yes,4G,No,Multiple,Gaana,No,Yes,No,UPI,1098.8,45862.35,4,33.0,16.3,778.0,4,2,1
CUST_00058,30,Female,Gujarat,Tier 1,43,Postpaid,Monthly Bill,Yes,5G,Yes,Prime Video,Gaana,No,Yes,No,UPI,1245.09,53311.41,1,5.0,84.3,198.0,5,5,0
CUST_00059,39,Female,Kerala,Tier 2,42,Prepaid,Quarterly Recharge,Yes,4G,Yes,None,None,No,Yes,No,Cash/Cheque,587.02,24093.75,2,40.0,0.0,82.0,4,3,0
CUST_00060,47,Male,Delhi,Tier 2,3,Prepaid,Quarterly Recharge,Yes,4G,No,None,Spotify,No,Yes,No,Net Banking,595.51,1414.86,3,64.0,17.2,877.0,1,2,1
CUST_00061,28,Male,Kerala,Tier 2,23,Prepaid,Monthly Recharge,Yes,5G,No,Disney+ Hotstar,None,Yes,No,No,UPI,1031.86,22999.5,3,52.0,25.0,1053.0,5,4,0
CUST_00062,32,Male,Telangana,Tier 3,1,Prepaid,Monthly Recharge,Yes,4G,Yes,None,Gaana,No,No,Yes,UPI,748.49,886.79,3,66.0,101.3,1231.0,3,4,0
CUST_00063,20,Male,Tamil Nadu,Tier 1,45,Prepaid,Monthly Recharge,Yes,4G,No,Disney+ Hotstar,JioSaavn,No,Yes,Yes,Net Banking,964.76,43439.11,4,171.0,32.3,293.0,5,3,0
CUST_00064,19,Female,West Bengal,Tier 3,30,Prepaid,Annual Recharge,Yes,4G,No,Netflix,JioSaavn,No,Yes,Yes,Net Banking,862.38,25918.65,2,2.0,19.4,330.0,5,4,1
CUST_00065,45,Female,Karnataka,Tier 2,18,Prepaid,Monthly Recharge,Yes,No Internet,No,None,None,Yes,No,Yes,Debit Card,244.13,4214.04,4,125.0,0.0,145.0,4,5,0
CUST_00066,52,Female,Uttar Pradesh,Tier 3,31,Prepaid,Monthly Recharge,Yes,5G,No,Disney+ Hotstar,None,Yes,Yes,Yes,Net Banking,1138.86,35009.33,2,38.0,45.0,164.0,3,4,0
CUST_00067,34,Male,Punjab,Tier 2,2,Prepaid,Annual Recharge,Yes,4G,Yes,None,None,No,No,Yes,Credit Card,588.38,1027.8,3,39.0,62.8,290.0,3,5,0
CUST_00068,48,Female,Uttar Pradesh,Tier 2,18,Prepaid,Monthly Recharge,Yes,5G,No,None,JioSaavn,No,Yes,Yes,Debit Card,855.56,15186.93,0,71.0,2.5,71.0,4,5,0
CUST_00069,39,Male,Madhya Pradesh,Tier 3,8,Prepaid,Quarterly Recharge,Yes,5G,Yes,None,Gaana,Yes,No,Yes,UPI,987.24,7974.52,2,72.0,2.5,1311.0,2,3,1
CUST_00070,26,Female,Gujarat,Tier 3,72,Postpaid,Annual Contract,Yes,No Internet,No,Multiple,JioSaavn,No,Yes,No,UPI,962.87,70243.13,1,9.0,0.0,462.0,4,4,0
CUST_00071,39,Male,Karnataka,Tier 1,46,Prepaid,Monthly Recharge,Yes,4G,No,Multiple,Spotify,Yes,No,Yes,UPI,1097.23,50377.99,0,80.0,14.6,19.0,3,4,0
CUST_00072,54,Male,Gujarat,Tier 1,31,Postpaid,Monthly Bill,Yes,No Internet,No,Disney+ Hotstar,Gaana,Yes,No,No,UPI,929.68,28524.12,3,15.0,0.0,119.0,1,2,0
CUST_00073,34,Male,West Bengal,Tier 2,65,Prepaid,Annual Recharge,Yes,4G,No,Disney+ Hotstar,JioSaavn,No,Yes,No,UPI,988.7,64140.87,1,28.0,1.3,143.0,4,4,0
CUST_00074,55,Female,Tamil Nadu,Tier 3,10,Prepaid,Monthly Recharge,Yes,No Internet,No,None,Gaana,No,No,No,UPI,366.18,3415.66,1,53.0,0.0,4.0,4,4,1
CUST_00075,18,Male,Maharashtra,Tier 1,55,Prepaid,Quarterly Recharge,Yes,4G,No,None,Spotify,No,No,No,UPI,540.11,29457.93,0,88.0,46.3,1661.0,4,3,0
CUST_00076,45,Male,Uttar Pradesh,Tier 2,9,Prepaid,Monthly Recharge,Yes,4G,No,Prime Video,Spotify,No,Yes,Yes,Net Banking,891.96,7735.46,2,113.0,1.4,131.0,3,4,0
CUST_00077,36,Female,Maharashtra,Tier 2,31,Postpaid,Monthly Bill,Yes,5G,Yes,None,JioSaavn,No,No,Yes,UPI,1068.5,33466.0,3,102.0,27.8,21.0,5,1,1
CUST_00078,31,Male,Maharashtra,Tier 3,32,Prepaid,Monthly Recharge,Yes,5G,Yes,None,Spotify,Yes,No,No,Net Banking,900.0,29136.06,2,59.0,149.8,836.0,1,4,1
CUST_00079,36,Male,Uttar Pradesh,Tier 2,1,Prepaid,Annual Recharge,No,4G,No,None,Gaana,Yes,No,No,Cash/Cheque,568.99,1020.17,1,15.0,1.3,0.0,2,2,1
CUST_00080,18,Male,Delhi,Tier 2,10,Prepaid,Monthly Recharge,Yes,5G,No,None,JioSaavn,No,No,Yes,Net Banking,789.11,8448.14,2,90.0,13.1,243.0,3,4,1
CUST_00081,32,Male,Haryana,Tier 3,1,Prepaid,Monthly Recharge,Yes,4G,No,Multiple,Gaana,Yes,No,Yes,Net Banking,1189.92,1007.62,1,300.0,14.6,181.0,3,4,1
CUST_00082,39,Female,Tamil Nadu,Tier 2,72,Postpaid,Annual Contract,Yes,4G,No,Netflix,Spotify,Yes,No,Yes,Debit Card,1086.61,77452.07,5,136.0,4.8,32.0,2,4,1
CUST_00083,54,Female,Kerala,Tier 2,3,Prepaid,Monthly Recharge,Yes,4G,Yes,None,JioSaavn,No,Yes,Yes,UPI,733.97,3186.69,5,45.0,20.0,13.0,5,3,1
CUST_00084,28,Male,West Bengal,Tier 1,18,Postpaid,Monthly Bill,No,4G,Yes,None,JioSaavn,No,No,Yes,UPI,760.27,12556.11,1,49.0,47.8,0.0,5,4,0
CUST_00085,24,Female,Telangana,Tier 2,37,Prepaid,Monthly Recharge,Yes,5G,No,Prime Video,None,Yes,No,No,Cash/Cheque,1008.33,37137.38,2,247.0,17.1,178.0,4,3,0
CUST_00086,28,Male,Delhi,Tier 1,5,Prepaid,Quarterly Recharge,Yes,4G,No,Netflix,Spotify,No,No,No,Debit Card,919.18,3882.63,3,6.0,0.2,549.0,3,4,0
CUST_00087,46,Male,Haryana,Tier 1,15,Prepaid,Monthly Recharge,Yes,4G,Yes,Prime Video,None,Yes,Yes,No,UPI,745.27,11380.46,2,72.0,23.8,515.0,3,4,0
CUST_00088,39,Male,West Bengal,Tier 2,22,Prepaid,Annual Recharge,Yes,No Internet,No,Disney+ Hotstar,Gaana,Yes,No,Yes,UPI,621.75,13200.07,1,12.0,0.0,250.0,5,3,0
CUST_00089,28,Male,Madhya Pradesh,Tier 2,4,Postpaid,Annual Contract,Yes,4G,No,None,Spotify,No,Yes,No,UPI,808.74,3800.77,3,6.0,39.4,94.0,1,5,0
CUST_00090,41,Male,Tamil Nadu,Tier 2,36,Prepaid,Monthly Recharge,Yes,5G,No,Netflix,JioSaavn,No,Yes,Yes,Cash/Cheque,1094.24,39508.87,2,27.0,39.4,738.0,3,2,1
CUST_00091,36,Female,Maharashtra,Tier 1,8,Prepaid,Quarterly Recharge,Yes,No Internet,No,None,JioSaavn,Yes,Yes,Yes,Net Banking,388.05,3860.11,5,21.0,0.0,419.0,3,4,0
CUST_00092,47,Female,Rajasthan,Tier 2,5,Postpaid,Annual Contract,Yes,4G,No,None,JioSaavn,No,Yes,No,UPI,845.69,4279.24,5,4.0,9.7,172.0,5,3,0
CUST_00093,25,Male,Maharashtra,Tier 2,19,Prepaid,Annual Recharge,Yes,4G,Yes,None,None,No,No,No,Net Banking,618.36,12328.48,0,153.0,16.6,819.0,1,5,0
CUST_00094,30,Female,Uttar Pradesh,Tier 2,12,Prepaid,Monthly Recharge,Yes,5G,No,Netflix,None,No,No,No,UPI,1045.61,12004.51,4,144.0,18.2,682.0,4,4,0
CUST_00095,29,Female,Karnataka,Tier 1,60,Prepaid,Monthly Recharge,Yes,4G,Yes,None,Spotify,No,Yes,Yes,UPI,611.71,37195.14,5,91.0,1.0,0.0,5,4,0
CUST_00096,18,Female,Rajasthan,Tier 2,50,Prepaid,Monthly Recharge,Yes,4G,No,None,Gaana,Yes,Yes,Yes,UPI,663.5,33107.49,2,117.0,7.0,813.0,2,3,0
CUST_00097,38,Female,Bihar,Tier 3,15,Prepaid,Monthly Recharge,Yes,5G,Yes,Prime Video,JioSaavn,No,Yes,Yes,Net Banking,924.18,13981.64,1,6.0,25.8,302.0,2,5,1
CUST_00098,38,Male,Uttar Pradesh,Tier 1,10,Prepaid,Monthly Recharge,Yes,No Internet,No,Netflix,Gaana,Yes,No,No,Debit Card,603.33,6497.06,3,25.0,0.0,1033.0,3,5,0
CUST_00099,35,Female,Madhya Pradesh,Tier 1,9,Postpaid,Monthly Bill,No,4G,No,None,None,Yes,No,Yes,Debit Card,734.35,6802.43,1,72.0,0.5,0.0,4,4,0
CUST_00100,31,Female,West Bengal,Tier 2,7,Prepaid,Monthly Recharge,Yes,5G,Yes,None,None,No,No,Yes,Debit Card,784.67,5097.39,4,178.0,98.1,63.0,3,5,1
CUST_00101,18,Female,West Bengal,Tier 2,18,Postpaid,Monthly Bill,Yes,4G,No,None,Gaana,Yes,No,Yes,Debit Card,911.64,16164.78,3,98.0,22.7,167.0,4,4,0
CUST_00102,29,Male,Haryana,Tier 2,39,Prepaid,Monthly Recharge,Yes,4G,Yes,None,None,No,No,Yes,Credit Card,523.2,19875.97,0,1.0,45.0,149.0,3,3,0
CUST_00103,30,Male,Punjab,Tier 2,8,Prepaid,Monthly Recharge,Yes,4G,Yes,None,None,No,No,Yes,UPI,623.93,5349.09,1,22.0,5.1,486.0,4,5,0
CUST_00104,24,Female,Kerala,Tier 2,5,Postpaid,Monthly Bill,Yes,4G,No,Disney+ Hotstar,None,No,No,No,UPI,1171.73,5685.8,1,41.0,24.7,309.0,4,4,0
CUST_00105,32,Male,Delhi,Tier 2,15,Postpaid,Monthly Bill,Yes,5G,No,Multiple,Gaana,No,No,Yes,UPI,1479.9,21974.11,2,78.0,3.2,126.0,3,5,0
CUST_00106,40,Male,West Bengal,Tier 1,1,Prepaid,Monthly Recharge,Yes,4G,Yes,Prime Video,Spotify,No,Yes,No,UPI,898.87,1000.13,0,87.0,15.1,573.0,4,3,1
CUST_00107,59,Female,Delhi,Tier 1,28,Prepaid,Quarterly Recharge,Yes,4G,No,Disney+ Hotstar,JioSaavn,No,No,Yes,UPI,918.5,25599.54,1,76.0,29.9,424.0,3,4,0
CUST_00108,37,Male,Uttar Pradesh,Tier 2,17,Postpaid,Monthly Bill,Yes,4G,No,Multiple,None,No,No,No,Credit Card,1208.8,21134.06,1,6.0,27.1,630.0,4,3,0
CUST_00109,38,Female,West Bengal,Tier 1,16,Postpaid,Annual Contract,Yes,4G,Yes,Disney+ Hotstar,None,No,No,Yes,UPI,1154.39,18862.78,1,113.0,6.7,550.0,1,3,1
CUST_00110,34,Female,Madhya Pradesh,Tier 3,8,Postpaid,Annual Contract,Yes,5G,No,None,None,No,No,No,UPI,979.96,8201.13,1,89.0,4.4,380.0,3,3,0
CUST_00111,18,Female,Punjab,Tier 3,56,Prepaid,Monthly Recharge,Yes,5G,No,Netflix,JioSaavn,Yes,No,Yes,UPI,1072.88,59873.65,3,19.0,16.5,73.0,3,4,0
CUST_00112,34,Male,Uttar Pradesh,Tier 3,2,Prepaid,Annual Recharge,Yes,5G,Yes,None,None,No,No,No,UPI,794.05,1943.01,0,55.0,35.4,87.0,3,3,1
CUST_00113,35,Male,Maharashtra,Tier 3,48,Prepaid,Monthly Recharge,Yes,5G,No,None,JioSaavn,No,No,Yes,UPI,788.92,38119.86,2,24.0,3.5,619.0,5,4,0
CUST_00114,67,Female,Punjab,Tier 2,11,Postpaid,Monthly Bill,Yes,4G,No,None,Gaana,No,No,Yes,UPI,899.91,9290.9,1,93.0,45.4,776.0,3,4,0
CUST_00115,32,Female,Karnataka,Tier 3,51,Prepaid,Monthly Recharge,Yes,4G,No,None,None,No,No,Yes,Credit Card,587.46,29837.39,1,19.0,17.5,279.0,2,4,1
CUST_00116,38,Female,Rajasthan,Tier 1,31,Prepaid,Annual Recharge,Yes,5G,No,Disney+ Hotstar,Gaana,No,No,No,UPI,1085.23,33556.48,2,2.0,73.1,1742.0,5,4,0
CUST_00117,34,Male,Maharashtra,Tier 1,2,Postpaid,Monthly Bill,Yes,4G,No,None,None,No,No,Yes,UPI,758.79,2265.32,2,45.0,26.2,140.0,3,4,1
CUST_00118,19,Male,Tamil Nadu,Tier 3,42,Prepaid,Monthly Recharge,Yes,No Internet,Yes,Disney+ Hotstar,JioSaavn,Yes,No,Yes,Credit Card,681.66,28419.82,1,4.0,0.0,526.0,4,4,0
CUST_00119,49,Female,Bihar,Tier 1,27,Postpaid,Annual Contract,Yes,No Internet,No,None,Spotify,No,No,Yes,UPI,526.22,14449.15,4,4.0,0.0,443.0,5,3,0
CUST_00120,44,Male,Maharashtra,Tier 3,1,Prepaid,Annual Recharge,Yes,No Internet,Yes,None,Spotify,No,No,Yes,UPI,439.58,1090.06,2,17.0,0.0,549.0,3,4,0
CUST_00121,45,Female,Uttar Pradesh,Tier 2,3,Prepaid,Monthly Recharge,Yes,4G,Yes,Prime Video,None,Yes,Yes,Yes,UPI,858.48,2114.16,1,102.0,16.8,215.0,4,3,0
CUST_00122,23,Male,Delhi,Tier 3,24,Prepaid,Monthly Recharge,Yes,4G,No,None,JioSaavn,No,No,Yes,Debit Card,684.56,16569.14,3,229.0,4.6,112.0,2,5,1
CUST_00123,53,Male,Haryana,Tier 1,26,Prepaid,Quarterly Recharge,Yes,No Internet,No,None,JioSaavn,No,Yes,Yes,Debit Card,335.47,9738.45,4,58.0,0.0,208.0,3,3,0
CUST_00124,18,Male,Punjab,Tier 2,32,Prepaid,Monthly Recharge,Yes,5G,Yes,None,None,No,No,Yes,UPI,823.03,25552.58,0,91.0,10.1,84.0,5,1,1
CUST_00125,42,Male,Delhi,Tier 1,30,Prepaid,Monthly Recharge,Yes,5G,No,Disney+ Hotstar,Gaana,No,Yes,Yes,Cash/Cheque,1109.37,32977.69,4,4.0,32.4,47.0,5,4,0
CUST_00126,63,Female,Maharashtra,Tier 3,25,Prepaid,Monthly Recharge,Yes,4G,No,None,Spotify,Yes,No,No,Net Banking,716.64,18052.46,5,125.0,44.8,461.0,3,5,0
CUST_00127,22,Female,Rajasthan,Tier 1,34,Postpaid,Monthly Bill,Yes,5G,Yes,Netflix,None,No,No,Yes,Debit Card,1198.09,40917.23,3,48.0,5.7,1702.0,1,4,0
CUST_00128,27,Male,Tamil Nadu,Tier 2,20,Prepaid,Monthly Recharge,Yes,5G,No,Multiple,Spotify,Yes,Yes,Yes,Debit Card,1305.26,26183.91,2,53.0,96.7,440.0,4,2,1
CUST_00129,36,Female,Rajasthan,Tier 1,7,Prepaid,Quarterly Recharge,Yes,4G,No,None,None,No,Yes,No,Net Banking,513.56,3867.78,0,130.0,16.3,58.0,2,2,1
CUST_00130,28,Male,Maharashtra,Tier 1,58,Prepaid,Monthly Recharge,Yes,No Internet,No,None,Gaana,Yes,No,No,Debit Card,412.92,24579.84,2,10.0,0.0,295.0,5,4,0
